name,value,year,lastValue,rank
indigo,639,2014.410000,416,3
jade,NA,2014.410000,NA,5
kinetic,NA,2014.410000,NA,6
lunar,NA,2014.410000,NA,7
melodic,NA,2014.410000,NA,8
ardent,NA,2014.410000,NA,10
bouncy,NA,2014.410000,NA,11
crystal,NA,2014.410000,NA,12
dashing,NA,2014.410000,NA,13
eloquent,NA,2014.410000,NA,14
fuerte,460,2014.500000,460,4
groovy,2819,2014.500000,2787,2
hydro,3100,2014.500000,2942,1
indigo,770,2014.500000,639,3
jade,NA,2014.500000,NA,5
kinetic,NA,2014.500000,NA,6
lunar,NA,2014.500000,NA,7
melodic,NA,2014.500000,NA,8
ardent,NA,2014.500000,NA,10
bouncy,NA,2014.500000,NA,11
crystal,NA,2014.500000,NA,12
dashing,NA,2014.500000,NA,13
eloquent,NA,2014.500000,NA,14
fuerte,460,2014.580000,460,4
groovy,2866,2014.580000,2819,2
hydro,3241,2014.580000,3100,1
indigo,912,2014.580000,770,3
jade,NA,2014.580000,NA,5
kinetic,NA,2014.580000,NA,6
lunar,NA,2014.580000,NA,7
melodic,NA,2014.580000,NA,8
ardent,NA,2014.580000,NA,10
bouncy,NA,2014.580000,NA,11
crystal,NA,2014.580000,NA,12
dashing,NA,2014.580000,NA,13
eloquent,NA,2014.580000,NA,14
fuerte,460,2014.660000,460,4
groovy,2923,2014.660000,2866,2
hydro,3351,2014.660000,3241,1
indigo,1078,2014.660000,912,3
jade,NA,2014.660000,NA,5
kinetic,NA,2014.660000,NA,6
lunar,NA,2014.660000,NA,7
melodic,NA,2014.660000,NA,8
ardent,NA,2014.660000,NA,10
bouncy,NA,2014.660000,NA,11
crystal,NA,2014.660000,NA,12
dashing,NA,2014.660000,NA,13
eloquent,NA,2014.660000,NA,14
fuerte,460,2014.750000,460,4
groovy,2973,2014.750000,2923,2
hydro,3567,2014.750000,3351,1
indigo,1329,2014.750000,1078,3
jade,NA,2014.750000,NA,5
kinetic,NA,2014.750000,NA,6
lunar,NA,2014.750000,NA,7
melodic,NA,2014.750000,NA,8
ardent,NA,2014.750000,NA,10
bouncy,NA,2014.750000,NA,11
crystal,NA,2014.750000,NA,12
dashing,NA,2014.750000,NA,13
eloquent,NA,2014.750000,NA,14
fuerte,460,2014.830000,460,4
groovy,2974,2014.830000,2973,2
hydro,3727,2014.830000,3567,1
indigo,1493,2014.830000,1329,3
jade,NA,2014.830000,NA,5
kinetic,NA,2014.830000,NA,6
lunar,NA,2014.830000,NA,7
melodic,NA,2014.830000,NA,8
ardent,NA,2014.830000,NA,10
bouncy,NA,2014.830000,NA,11
crystal,NA,2014.830000,NA,12
dashing,NA,2014.830000,NA,13
eloquent,NA,2014.830000,NA,14
fuerte,460,2014.910000,460,4
groovy,2977,2014.910000,2974,2
hydro,3860,2014.910000,3727,1
indigo,1646,2014.910000,1493,3
jade,NA,2014.910000,NA,5
kinetic,NA,2014.910000,NA,6
lunar,NA,2014.910000,NA,7
melodic,NA,2014.910000,NA,8
ardent,NA,2014.910000,NA,10
bouncy,NA,2014.910000,NA,11
crystal,NA,2014.910000,NA,12
dashing,NA,2014.910000,NA,13
eloquent,NA,2014.910000,NA,14
fuerte,460,2015.000000,460,4
groovy,2977,2015.000000,2977,2
hydro,3974,2015.000000,3860,1
indigo,1879,2015.000000,1646,3
jade,43,2015.000000,NA,5
kinetic,NA,2015.000000,NA,6
lunar,NA,2015.000000,NA,7
melodic,NA,2015.000000,NA,8
ardent,NA,2015.000000,NA,10
bouncy,NA,2015.000000,NA,11
crystal,NA,2015.000000,NA,12
dashing,NA,2015.000000,NA,13
eloquent,NA,2015.000000,NA,14
fuerte,460,2015.080000,460,4
groovy,2980,2015.080000,2977,2
hydro,4067,2015.080000,3974,1
